人物姓名,人物网址,所处时代,本名,民族族群,出生地,逝世日期,主要成就,官职,字,爵位,别名,出生日期,谥号,籍贯,字号,主要作品,中文名,民族,职业,父亲,国籍,性别,陵墓,去世时间,典故,年号,别称,在位时间,封爵,职位,出生时间,庙号,儿子,追赠,兄弟,身份,追封,地位,信仰,势力,官爵,相关事件,母亲,子,代表作品,子嗣,外文名,夫君,父,记载,官位,葬处,结局,家世信息,封号,丈夫,子女,配偶,祖籍,祖父,朝代,容貌,家世,号,陵寝,特征,人物关系,职务,兄长,官至,嫡庶身份,尊称,持麾经历,终年,武器,家世归属,书法成就,逝世地,后世追谥,加封,阵营,所处朝代,哥哥,相关典故,去世地,追尊,宋代加封,所处时期,样貌,藏处,主效势力,最高任职,宗教信仰,妻子,主公,史料记载,婚姻状况,姐妹,出处,史书记载,封侯,外号,食邑,拼音,出生地点,生卒年,相关历史人物,曾祖,评价,孙,父母,族弟,叔祖父,身世,结果,死因,兄弟姐妹,特点,好友,国家,相关人物,时期,气质,年代,登场作品,主要事迹,曾祖父,简介
李傕,https://baike.baidu.com/item/%E6%9D%8E%E5%82%95/24491,"[""东汉末年""]","[""李傕""]","[""汉族""]","[""北地泥阳（今陕西省耀县）""]","[""198年4月""]","[""挟天子辅政四年、设立雍州；破朱儁，败马腾，走孙坚，击西羌""]","[""大司马、车骑将军、领司隶校尉""]","[""稚然""]","[""池阳侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""巫道""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
郭汜,https://baike.baidu.com/item/%E9%83%AD%E6%B1%9C/2123758,"[""东汉""]","[""郭汜""]","[""汉族""]","[""凉州张掖""]","[""197年""]","[""击败吕布，杀死王允""]","[""车骑将军""]",,"[""美阳侯""]","[""郭多""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张济,https://baike.baidu.com/item/%E5%BC%A0%E6%B5%8E/22316,"[""东汉""]","[""张济""]","[""汉族""]","[""武威郡祖厉县""]","[""196年""]","[""与李傕等攻陷长安""]","[""中郎将、镇东将军、骠骑将军等""]",,"[""平阳侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
樊稠,https://baike.baidu.com/item/%E6%A8%8A%E7%A8%A0/996810,"[""东汉""]","[""樊稠""]","[""汉族""]","[""凉州金城""]",,"[""败吕布、杀王允，把持朝政；大破马腾、韩遂""]","[""右将军""]",,"[""万年侯""]",,,,,,,,,,,,,,"[""195年""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高览,https://baike.baidu.com/item/%E9%AB%98%E8%A7%88/1124985,"[""东汉""]","[""高览""]","[""汉族""]",,,"[""斩刘辟""]","[""偏将军""]",,"[""东莱侯""]","[""高奂""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
袁谭,https://baike.baidu.com/item/%E8%A2%81%E8%B0%AD/2839214,"[""东汉""]","[""袁谭""]","[""汉族""]","[""汝南郡汝阳县（今河南商水）""]","[""205年""]","[""攻破田楷、孔融，占据青州""]","[""车骑将军、青州刺史""]","[""显思（一说字显恩、显忠）""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
袁熙,https://baike.baidu.com/item/%E8%A2%81%E7%86%99/16995,"[""东汉""]","[""袁熙""]","[""汉族""]","[""汝南郡汝阳县（今河南商水）""]","[""207年""]",,"[""幽州刺史""]","[""显奕（一说显雍）""]",,,,,,,,,,,"[""袁绍""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""甄氏，吴氏""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
袁尚,https://baike.baidu.com/item/%E8%A2%81%E5%B0%9A/55667304,"[""东汉末年""]","[""袁尚""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
高干,https://baike.baidu.com/item/%E9%AB%98%E5%B9%B2/9579011,"[""东汉""]","[""高干""]","[""汉族""]","[""陈留圉""]","[""206年""]","[""游说韩馥让出冀州；抵挡住乐进""]","[""并州刺史""]","[""元才""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蔡瑁,https://baike.baidu.com/item/%E8%94%A1%E7%91%81/6763,"[""东汉末年""]","[""蔡瑁""]","[""汉族""]","[""襄阳蔡州（今湖北襄阳）""]",,"[""协助刘表平定荆州""]","[""长水校尉""]",,"[""汉阳亭侯""]",,,,,"[""字德珪""]",,,,"[""将领""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张允,https://baike.baidu.com/item/%E5%BC%A0%E5%85%81/23590,"[""三国""]","[""张允""]","[""汉族""]",,,"[""与蔡瑁离间刘表父子的关系""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""刘表->曹操""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尹夫人,https://baike.baidu.com/item/%E5%B0%B9%E5%A4%AB%E4%BA%BA/15411062,"[""东汉末年""]","[""尹氏""]","[""汉族""]",,,,,,,"[""尹夫人""]",,,,,,,,,,,,,,,,,,,,,,"[""何晏，曹矩""]",,,,,,,,,,,,,,,"[""何氏，曹操""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 武宣卞皇后,https://baike.baidu.com/item/%E6%AD%A6%E5%AE%A3%E5%8D%9E%E7%9A%87%E5%90%8E/5028401,"[""汉末三国""]","[""卞氏""]","[""汉族""]","[""齐郡""]","[""230年7月9日""]",,,,,"[""卞夫人"", ""卞皇后""]","[""161年1月29日""]","[""武宣皇后""]","[""琅琊郡开阳县""]",,,,,,,,,"[""高陵""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹茂,https://baike.baidu.com/item/%E6%9B%B9%E8%8C%82/4303954,"[""三国时期曹魏""]","[""曹茂""]","[""汉族""]","[""沛国谯县（今安徽亳州）""]",,,,,"[""乐陵王""]",,,,"[""沛国谯县（今安徽亳州）""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹宇,https://baike.baidu.com/item/%E6%9B%B9%E5%AE%87/9384,"[""三国""]","[""曹宇""]","[""汉族""]","[""沛国谯县（今安徽亳州）""]","[""278年""]",,,"[""彭祖""]",,"[""燕王、曹彭祖""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹均,https://baike.baidu.com/item/%E6%9B%B9%E5%9D%87/4304050,"[""东汉""]","[""曹均""]","[""汉人""]",,"[""219年""]",,,,"[""樊公""]",,,"[""安""]","[""沛国谯县""]",,,,,,"[""曹操""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹棘,https://baike.baidu.com/item/%E6%9B%B9%E6%A3%98/4304002,"[""三国""]","[""曹棘""]",,"[""沛国谯""]",,,,,,,"[""建安后期，约建安十几年左右""]","[""广宗殇公子""]",,,,,,,,,"[""男""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹矩,https://baike.baidu.com/item/%E6%9B%B9%E7%9F%A9/4100768,"[""东汉""]","[""曹矩""]","[""汉""]",,,,,,"[""范阳王""]",,,"[""闵""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹勤,https://baike.baidu.com/item/%E6%9B%B9%E5%8B%A4/37473,"[""汉末三国""]","[""曹勤""]","[""谯人""]","[""沛国""]",,,,,,,,,,"[""无字（未成年时就早夭了）""]",,,,,"[""魏武帝曹操""]",,,,,,,,,,,,,,,"[""共二十四位""]",,,,,,,,"[""孙姬""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""《三国志武文世王公传》""]","[""未婚""]","[""共六位""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹林,https://baike.baidu.com/item/%E6%9B%B9%E6%9E%97/19168,"[""魏国""]","[""曹林""]","[""汉族""]","[""沛国谯县（今安徽亳州）""]","[""256年""]",,,,,"[""曹豹、沛穆王""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""谯王、沛王""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹昂,https://baike.baidu.com/item/%E6%9B%B9%E6%98%82/714793,,,,"[""沛国谯县（今安徽亳州）""]","[""公元197年""]",,,,"[""丰王""]","[""子脩""]",,"[""悼→愍""]",,,,"[""曹昂""]","[""汉""]","[""孝廉""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹冲,https://baike.baidu.com/item/%E6%9B%B9%E5%86%B2/629,"[""东汉""]",,,"[""豫州刺史部谯（今安徽亳州人）人""]","[""208年""]",,,,,"[""曹仓舒""]","[""196年""]","[""邓哀王""]",,,,"[""曹冲""]","[""汉族""]","[""公子""]",,,,,,,,,,,,,,,,,,,,,,,"[""曹冲称象""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹铄,https://baike.baidu.com/item/%E6%9B%B9%E9%93%84/4100571,"[""汉""]","[""曹铄""]",,"[""沛国谯人（今安徽亳州）""]",,,,,,"[""相殇王""]",,,,,,,,,"[""曹操""]",,"[""男""]",,,,,,,,,,,,,,,,,,,,,"[""刘夫人""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹整,https://baike.baidu.com/item/%E6%9B%B9%E6%95%B4/4304082,,,,,"[""公元218年""]",,,,,,"[""约公元197年""]","[""戴公""]",,,,"[""曹整""]",,"[""郿侯""]",,"[""东汉""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 清河公主,https://baike.baidu.com/item/%E6%B8%85%E6%B2%B3%E5%85%AC%E4%B8%BB/23901,"[""三国""]","[""曹氏""]","[""汉族""]","[""沛国谯县（今安徽亳州）""]",,,,,,"[""清河公主""]",,,,,,,,,"[""曹操""]",,,,,,,,,,,,,,,,,,,,,,,"[""刘夫人""]",,,,,,,,,,,,,"[""夏侯楙""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹华,https://baike.baidu.com/item/%E6%9B%B9%E5%8D%8E/4128515,,,,"[""沛国谯县（今安徽亳州）""]","[""未知""]",,,,,,"[""未知""]",,,,,"[""曹华""]",,,"[""曹孟德""]","[""（中国古代）魏国""]",,,,,,,,,,,,,,,"[""汉献帝夫人""]",,,,,,,,,,,,"[""汉献帝""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹宪,https://baike.baidu.com/item/%E6%9B%B9%E5%AE%AA/32991,"[""东汉末年""]","[""曹宪""]","[""汉族""]","[""沛国谯县""]",,,,,,"[""曹夫人、曹贵人""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 金乡公主,https://baike.baidu.com/item/%E9%87%91%E4%B9%A1%E5%85%AC%E4%B8%BB/29099,"[""三国时期""]","[""曹氏""]","[""汉族""]","[""沛国谯县（今安徽亳州）""]",,,,,,,,,,,,,,,"[""曹操""]","[""曹魏""]",,,,,,,,,,,,,,,,,,,,,,,,,,,"[""何晏""]",,,,,,,"[""金乡公主""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹嵩,https://baike.baidu.com/item/%E6%9B%B9%E5%B5%A9/879853,"[""东汉""]","[""曹嵩""]","[""汉族""]","[""沛国谯县（今安徽亳州）""]","[""193年或194年""]","[""汉灵帝时朝廷要臣，位列三公之首""]",,"[""巨高""]",,"[""曹忠""]",,"[""太王→太皇帝""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹真,https://baike.baidu.com/item/%E6%9B%B9%E7%9C%9F/715510,"[""汉末三国""]","[""曹真""]","[""汉族""]","[""沛国谯县（今安徽亳州）""]","[""231年""]","[""大败羌胡联军，平定河西；大破吴国孙盛，击退蜀汉诸葛亮""]","[""大将军、大司马""]","[""子丹""]","[""东乡侯→邵陵侯""]","[""秦真""]",,"[""元""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 吴皇后,https://baike.baidu.com/item/%E5%90%B4%E7%9A%87%E5%90%8E/20367566,"[""东汉""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹蕤,https://baike.baidu.com/item/%E6%9B%B9%E8%95%A4/1045440,"[""曹魏""]","[""曹蕤""]","[""汉族""]",,"[""233年""]",,,,"[""北海王""]",,,"[""悼王""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹协,https://baike.baidu.com/item/%E6%9B%B9%E5%8D%8F/6944206,"[""三国魏""]","[""曹协""]","[""汉族""]",,,,,,"[""赞王""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹澳,https://baike.baidu.com/item/%E6%9B%B9%E6%BE%B3/2729858,"[""三国""]","[""曹澳""]","[""汉""]",,,,,,"[""陈留王""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹霖,https://baike.baidu.com/item/%E6%9B%B9%E9%9C%96/7297166,"[""东汉→三国""]","[""曹霖""]",,"[""沛国谯县（今安徽亳州）""]","[""251年2月5日""]",,,,"[""河东王→东海王""]","[""东海定王""]",,"[""定""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹叡,https://baike.baidu.com/item/%E6%9B%B9%E5%8F%A1/2669752,"[""三国""]","[""曹叡""]","[""汉族""]","[""颍川郡许县（今河南许昌）""]","[""239年1月22日""]","[""击退吴蜀攻伐，平定鲜卑；能诗文，与曹操、曹丕并称魏氏三祖""]",,"[""元仲""]",,,"[""204年（存疑）""]","[""明皇帝""]","[""沛国谯县""]",,"[""《善哉行》"", ""《棹歌行》""]",,,,,,"[""男""]","[""高平陵""]",,,"[""太和（227年）、青龙（233年）、景初（237年）""]",,"[""226年－239年""]",,,,"[""烈祖""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 刘协,https://baike.baidu.com/item/%E5%88%98%E5%8D%8F/18268,"[""东汉""]","[""刘协""]","[""汉族""]","[""河南郡雒阳县（今河南洛阳）""]","[""234年4月21日""]",,,"[""伯和""]",,"[""汉献帝、山阳公、刘伯和""]","[""181年4月2日""]","[""孝献皇帝（魏）、孝愍皇帝（蜀汉）""]",,,,,,,,,"[""男""]",,,,"[""永汉（189年）、中平（189年）、初平（190年）、兴平（194年）、建安（196年）、延康（220年）""]",,"[""189年—220年""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹启,https://baike.baidu.com/item/%E6%9B%B9%E5%90%AF/5836466,"[""三国""]","[""曹启""]","[""汉""]","[""安徽亳州""]",,"[""继承东海王的爵位""]",,,"[""东海王""]","[""曹啟""]",,,"[""沛国谯县""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 郭女王,https://baike.baidu.com/item/%E9%83%AD%E5%A5%B3%E7%8E%8B/18086,"[""汉末三国""]","[""郭氏""]","[""汉人""]","[""安平郡广宗县""]","[""235年3月14日""]","[""在曹丕与曹植的夺嫡时向曹丕献纳良策""]",,"[""女王""]",,"[""郭女王""]","[""184年4月8日""]","[""文德皇后""]",,,"[""《谢上表》"", ""《敕戒郭表孟武等》《敕诸家》《止孟武厚葬其母》""]",,,,,,,"[""首阳陵""]",,,,,,,,,,,,,,,"[""夫人→贵嫔→皇后→皇太后""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 文昭甄皇后,https://baike.baidu.com/item/%E6%96%87%E6%98%AD%E7%94%84%E7%9A%87%E5%90%8E/4496642,"[""汉末三国""]","[""甄氏""]","[""汉族""]","[""中山郡无极县""]","[""221年8月4日""]",,,,,"[""甄夫人"", ""文昭皇后"", ""文昭甄皇后""]","[""183年1月26日""]","[""文昭皇后""]",,,"[""塘上行""]",,,,,,,"[""朝阳陵""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""袁熙、曹丕""]","[""曹叡、东乡公主""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹喈,https://baike.baidu.com/item/%E6%9B%B9%E5%96%88/6862159,"[""汉末三国""]","[""曹喈""]","[""汉族""]",,,,,,,,,,,"[""字仲雍""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹京,https://baike.baidu.com/item/%E6%9B%B9%E4%BA%AC/4304067,,,,,,,,,,,,,,,,"[""曹京""]","[""汉族""]",,,"[""中国""]","[""男""]",,,,,,,,,,,,,,,,,"[""未知""]",,,,,,,,"[""未知""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹寻,https://baike.baidu.com/item/%E6%9B%B9%E5%AF%BB/5835004,"[""三国时期""]","[""曹寻""]","[""汉族""]",,,,,,,,,,,,,,,,,,,,"[""248年""]",,,,,,,,,,,,"[""魏文帝曹丕之孙，赞哀王曹协之子""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""三国志""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹楷,https://baike.baidu.com/item/%E6%9B%B9%E6%A5%B7/9694254,"[""三国""]","[""曹楷""]","[""汉族""]","[""任城国任城县（今山东任城）""]",,,,,"[""济南王""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""魏武帝曹操之孙""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""《三国志》""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹彰,https://baike.baidu.com/item/%E6%9B%B9%E5%BD%B0/54249,"[""汉末三国""]","[""曹彰""]","[""汉族""]","[""沛国谯县""]","[""223年8月1日""]","[""击破代郡乌丸，降服鲜卑""]","[""北中郎将、行骁骑将军""]","[""子文""]","[""鄢陵侯→任城王""]","[""黄须儿、任城威王""]","[""189年""]","[""威""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 卞皇后,https://baike.baidu.com/item/%E5%8D%9E%E7%9A%87%E5%90%8E/6859571,"[""三国""]","[""卞氏""]","[""汉人""]","[""琅琊开阳（今山东临沂）""]","[""不详""]",,,,,"[""魏元帝皇后，陈留王皇后""]","[""不详""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 曹志,https://baike.baidu.com/item/%E6%9B%B9%E5%BF%97/22171,"[""曹魏→西晋""]",,,"[""陈国陈县（今河南淮阳）""]","[""公元288年""]",,,,,"[""曹允恭""]",,"[""定公""]",,,,"[""曹志""]","[""汉族""]",,,,,,,,,,,"[""济北王—鄄城县公""]",,,,,,,,,,,,,,,,"[""文集二卷""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 荀粲,https://baike.baidu.com/item/%E8%8D%80%E7%B2%B2/9450227,"[""三国""]","[""荀粲""]","[""汉族""]","[""颍川颍阴县""]",,"[""著名玄学家""]",,,,,,,,"[""字奉倩""]",,,,,,,,,"[""238年""]",,,,,,,"[""210年""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 荀俣,https://baike.baidu.com/item/%E8%8D%80%E4%BF%A3/7968568,"[""三国""]","[""荀俣""]","[""汉""]",,,,"[""御史中丞""]",,,,,,"[""颍川颍阴（今河南许昌）""]","[""字叔倩""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 荀顗,https://baike.baidu.com/item/%E8%8D%80%E9%A1%97/1020451,"[""魏晋""]","[""荀顗""]","[""汉族""]","[""颍川颍阴""]","[""274年""]","[""与羊祜等修订晋礼""]","[""太尉、侍中，行太子太傅""]","[""景倩""]","[""临淮公""]",,,"[""康""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 荀诜,https://baike.baidu.com/item/%E8%8D%80%E8%AF%9C/1674553,"[""三国""]","[""荀诜""]","[""汉""]",,,,"[""大将军从事郎""]",,,,,,"[""颍川颍阴（今河南许昌）""]","[""字曼倩""]","[""制《新律》等合百八十余篇""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 荀衍,https://baike.baidu.com/item/%E8%8D%80%E8%A1%8D/4761608,"[""汉末魏初""]","[""荀衍""]","[""汉人""]","[""豫州颍川郡颍阴(河南许昌市)""]",,,,,,"[""荀休若""]",,,,"[""字休若""]",,,,,,,,,,,,,,,,,,,,"[""荀彧、荀谌、""]",,,,,,,,,"[""荀绍、荀融""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[""列侯""]",,,,,,,,,,,,,,,,,,,,,,,,,,,
 荀谌,https://baike.baidu.com/item/%E8%8D%80%E8%B0%8C/6115859,"[""东汉末年""]","[""荀谌""]","[""汉族""]","[""豫州颍川郡颍阴（今河南许昌市）""]",,"[""辅助袁绍""]",,"[""友若""]",,,,,,"[""友若""]",,,,,,,,,,,,,,,,,,,,"[""荀衍、荀彧""]",,,,,,,,,"[""荀闳""]",,,,,"[""荀绲""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
